country,year,nominal_price_total_growth_pct,rent_total_growth_pct,price_to_income_ratio,price_to_rent_ratio,average_annual_wage,household_disposable_income,interest_rate,population_growth,growth_score,rent_score,affordability_score,interest_score,demand_score,investment_score,recommendation
Austria,2024,110.88299007016067,70.47545513347428,114.681995881087,115.514314042399,56968.032,46831.2354222379,2.84270833333334,0.5388938747913796,100.0,82.48941807645814,71.01844661923164,80.67697727835524,59.011923791179534,79.60550428912714,Strong Buy
Portugal,2024,109.05851943273645,42.52802342026032,147.263891415701,173.251483310974,23177.059,33735.0603766938,2.9575,1.1623367133117624,98.43126631131155,43.61246805734186,2.9720086848000506,77.22431595949145,100.0,65.50835932017998,Attractive
Germany,2024,76.44567252089485,22.654972257962203,107.844944773763,128.648436433119,50256.9,47685.3791601533,2.32108411234499,0.27533558458565643,70.38977822966538,15.967580158798182,88.42790334578771,96.36619778613633,41.684357225403005,61.268342371334576,Attractive
Sweden,2024,78.48644629228285,32.024654591844936,95.4945070927592,110.812998621857,529659.0,35146.5605772367,2.20027,0.3139428532706434,72.14449573538961,29.001503115558673,60.59190934587239,100.0,44.22258137892805,59.79932270191922,Watchlist
Netherlands,2024,77.87248268002655,43.273569292996726,130.538402920214,161.189543325521,58248.347,41485.0536172713,2.6205,0.6551222649329169,71.61659170535542,44.64957765398602,32.30000625492987,87.36047739214915,66.65332700956633,59.728801718857675,Watchlist
France,2024,25.503355704697974,13.88395954019217,93.4036999225165,117.710993067072,44908.538,39420.8018012013,2.97551666666667,0.263039880337157,26.588071076827223,3.7664510337718706,83.49659354098782,76.68241731910051,40.87597956567288,43.777185195158395,High Risk / Low Priority
Poland,2024,95.72246946183223,83.06326853772006,102.752498888873,124.01902368399,91625.251,29833.0947721065,5.525,-0.35869792940762535,86.96453703967707,100.0,0.0,0.0,0.0,41.741134259919264,High Risk / Low Priority
Spain,2024,19.09881052774369,11.1763748913001,115.697144846761,144.437446247478,33043.823,35161.9297398487,3.15379553140097,1.0070607683857702,21.081254154851653,0.0,37.32289824254104,71.32021152391412,89.79142614080232,41.391210143968706,High Risk / Low Priority
Italy,2024,-5.419136325148177,13.904428278129854,87.0429874654911,102.97614911439,33148.002,38593.1448247868,3.70741666666667,-0.05343293783148795,0.0,3.7949245661494997,100.0,54.66859965571129,20.069562060096686,32.97318727360593,High Risk / Low Priority
